      0.00    -51.992496    -51.913007    -51.871002    -51.857589    -51.854906    -51.850313    -51.850313    -51.850313
      0.50    -51.997864    -51.918265    -51.876224    -51.862773    -51.860274    -51.855791    -51.855791    -51.850492
      1.00    -52.011370    -51.931550    -51.889325    -51.875728    -51.873817    -51.869591    -51.869591    -51.850895
      1.50    -52.026872    -51.946648    -51.904129    -51.890348    -51.889356    -51.885498    -51.885498    -51.851250
      2.00    -52.038207    -51.957468    -51.914508    -51.900764    -51.900544    -51.897383    -51.897383    -51.851466
      2.50    -52.041928    -51.960528    -51.917090    -51.904632    -51.902832    -51.901692    -51.901692    -51.851440
      3.00    -52.037938    -51.955840    -51.911851    -51.900826    -51.898327    -51.897261    -51.898327    -51.851300
      3.50    -52.028428    -51.945521    -51.900981    -51.891536    -51.889368    -51.886134    -51.886134    -51.851067
      4.00    -52.017486    -51.933845    -51.888790    -51.880816    -51.878905    -51.873649    -51.888790    -51.850835
      4.50    -52.004404    -51.919807    -51.874275    -51.868028    -51.866190    -51.858803    -51.874275    -51.850646
      5.00    -51.994747    -51.909231    -51.863295    -51.858664    -51.856753    -51.847603    -51.863295    -51.850480
      5.50    -51.990765    -51.904331    -51.858210    -51.854940    -51.852808    -51.842335    -51.858210    -51.850410
      6.00    -51.993422    -51.906179    -51.860022    -51.857890    -51.855318    -51.844036    -51.860022    -51.850439
      6.50    -52.002335    -51.914357    -51.868347    -51.867061    -51.863937    -51.852324    -51.868347    -51.850539
      7.00    -52.015791    -51.927225    -51.881509    -51.880774    -51.876915    -51.865523    -51.881509    -51.850729
      7.50    -52.030830    -51.941823    -51.896548    -51.896070    -51.891330    -51.880636    -51.896548    -51.850989
      8.00    -52.043549    -51.954211    -51.909560    -51.909009    -51.903276    -51.893795    -51.909560    -51.851288
      8.50    -52.049819    -51.960297    -51.916345    -51.915463    -51.908591    -51.900800    -51.916345    -51.851490
      9.00    -52.046648    -51.957127    -51.913946    -51.912476    -51.904318    -51.898622    -51.913946    -51.851542
      9.50    -52.033992    -51.944581    -51.902246    -51.899894    -51.890449    -51.887179    -51.902246    -51.851319
     10.00    -52.016065    -51.926838    -51.885384    -51.882004    -51.871273    -51.870538    -51.871273    -51.850837
     10.50    -52.005604    -51.916597    -51.875732    -51.871506    -51.861069    -51.859967    -51.859967    -51.850735
     11.00    -52.005302    -51.916590    -51.876165    -51.871131    -51.861649    -51.858967    -51.861649    -51.850701
     11.50    -52.015649    -51.927304    -51.887321    -51.881367    -51.872989    -51.868726    -51.872989    -51.851064
     12.00    -52.030582    -51.942714    -51.903099    -51.896116    -51.888913    -51.883144    -51.888913    -51.851481
