      0.00    -49.533229    -49.463405    -49.439408    -49.421437    -49.409677    -49.409677    -49.274497
      0.50    -49.537142    -49.467906    -49.443504    -49.425755    -49.414289    -49.414289    -49.274596
      1.00    -49.532802    -49.464081    -49.439202    -49.421672    -49.410390    -49.410390    -49.274337
      1.50    -49.524271    -49.456028    -49.430597    -49.413178    -49.402043    -49.402043    -49.273868
      2.00    -49.518557    -49.450681    -49.424663    -49.407244    -49.396292    -49.396292    -49.273545
      2.50    -49.521078    -49.453496    -49.426816    -49.409287    -49.398482    -49.398482    -49.273458
      3.00    -49.532929    -49.465531    -49.438116    -49.420440    -49.409819    -49.409819    -49.273637
      3.50    -49.551362    -49.484074    -49.455924    -49.437990    -49.427590    -49.427590    -49.273960
      4.00    -49.571412    -49.504197    -49.475239    -49.457048    -49.446831    -49.446831    -49.274237
      4.50    -49.587849    -49.520671    -49.490978    -49.472456    -49.462497    -49.462497    -49.274456
      5.00    -49.596930    -49.529753    -49.499361    -49.480508    -49.470880    -49.470880    -49.274503
      5.50    -49.597058    -49.529843    -49.498827    -49.479754    -49.470640    -49.470640    -49.274428
      6.00    -49.588531    -49.521243    -49.489712    -49.470419    -49.462444    -49.462444    -49.274298
      6.50    -49.573254    -49.505819    -49.473884    -49.454480    -49.448196    -49.448196    -49.274127
      7.00    -49.554811    -49.487192    -49.454926    -49.435449    -49.431039    -49.431039    -49.273826
      7.50    -49.538392    -49.470479    -49.438029    -49.418662    -49.415869    -49.415869    -49.273483
      8.00    -49.529360    -49.461080    -49.428557    -49.409631    -49.407756    -49.407756    -49.273365
      8.50    -49.530605    -49.461884    -49.429397    -49.411610    -49.409148    -49.411610    -49.273385
      9.00    -49.540658    -49.471459    -49.439083    -49.422619    -49.419054    -49.422619    -49.273721
      9.50    -49.554371    -49.484584    -49.452428    -49.437251    -49.432510    -49.437251    -49.274130
     10.00    -49.565690    -49.495204    -49.463343    -49.449341    -49.443498    -49.449341    -49.274469
     10.50    -49.569784    -49.498527    -49.467070    -49.454024    -49.447299    -49.454024    -49.274605
     11.00    -49.564986    -49.492884    -49.461867    -49.449630    -49.442206    -49.449630    -49.274446
     11.50    -49.553960    -49.480976    -49.450474    -49.438861    -49.430923    -49.438861    -49.274084
     12.00    -49.542427    -49.468488    -49.438611    -49.427476    -49.419170    -49.427476    -49.273768
     12.50    -49.535578    -49.460683    -49.431467    -49.420663    -49.412137    -49.420663    -49.273630
     13.00    -49.535640    -49.459826    -49.431272    -49.420688    -49.412015    -49.420688    -49.273650
     13.50    -49.541982    -49.465249    -49.437467    -49.426956    -49.418247    -49.426956    -49.273803
     14.00    -49.551799    -49.474221    -49.447174    -49.436664    -49.427954    -49.436664    -49.274014
     14.50    -49.561081    -49.482768    -49.456419    -49.445835    -49.437235    -49.445835    -49.274200
     15.00    -49.566230    -49.487329    -49.461604    -49.450910    -49.442421    -49.450910    -49.274316
     15.50    -49.551744    -49.471961    -49.447412    -49.436388    -49.428413    -49.436388    -49.273061
     16.00    -49.534764    -49.454724    -49.430690    -49.419481    -49.411837    -49.419481    -49.272885
     16.50    -49.517327    -49.437250    -49.413583    -49.402081    -49.394915    -49.402081    -49.272618
     17.00    -49.503285    -49.423282    -49.399909    -49.388113    -49.381461    -49.388113    -49.272377
     17.50    -49.496635    -49.416852    -49.393663    -49.381499    -49.375472    -49.381499    -49.272213
     18.00    -49.499758    -49.420306    -49.397227    -49.384622    -49.379293    -49.384622    -49.272252
     18.50    -49.511738    -49.432764    -49.409648    -49.396602    -49.391972    -49.396602    -49.272530
     19.00    -49.528384    -49.449961    -49.426773    -49.413212    -49.409353    -49.413212    -49.272901
     19.50    -49.543866    -49.466105    -49.442695    -49.428657    -49.425533    -49.428657    -49.273291
     20.00    -49.552463    -49.475399    -49.451733    -49.437180    -49.434755    -49.437180    -49.273591
     20.50    -49.549956    -49.473627    -49.449593    -49.434599    -49.432799    -49.434599    -49.273704
     21.00    -49.535770    -49.460213    -49.435738    -49.420303    -49.419054    -49.420303    -49.273395
