      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      5.2070   2.3811E+02       0.18222089       0.01774885
      5.2120   2.3788E+02       0.18039745       0.01849940
      5.2170   2.3765E+02       0.17935061       0.01944421
      5.2220   2.3743E+02       0.17865669       0.02029832
      5.2270   2.3720E+02       0.17792634       0.02081256
      5.2320   2.3697E+02       0.17710213       0.02099352
      5.2370   2.3675E+02       0.17640181       0.02107101
      5.2420   2.3652E+02       0.17598811       0.02124801
      5.2470   2.3630E+02       0.17581226       0.02158998
      5.2520   2.3607E+02       0.17568791       0.02209524
      5.2570   2.3585E+02       0.17543319       0.02275719
      5.2620   2.3562E+02       0.17504839       0.02358010
      5.2670   2.3540E+02       0.17485323       0.02458936
      5.2720   2.3517E+02       0.17543775       0.02583694
      5.2770   2.3495E+02       0.17735960       0.02737747
      5.2820   2.3473E+02       0.18071734       0.02921834
      5.2870   2.3451E+02       0.18489440       0.03128410
      5.2920   2.3429E+02       0.18872083       0.03343191
      5.2970   2.3406E+02       0.19104223       0.03553182
      5.3020   2.3384E+02       0.19130510       0.03755650
      5.3070   2.3362E+02       0.18974579       0.03960832
      5.3120   2.3340E+02       0.18717089       0.04187746
      5.3170   2.3318E+02       0.18450886       0.04455492
      5.3220   2.3297E+02       0.18240072       0.04776543
      5.3270   2.3275E+02       0.18108587       0.05157314
      5.3320   2.3253E+02       0.18054467       0.05602971
      5.3370   2.3231E+02       0.18063770       0.06120919
      5.3420   2.3209E+02       0.18111040       0.06721609
      5.3470   2.3188E+02       0.18160420       0.07418731
      5.3520   2.3166E+02       0.18185039       0.08230832
      5.3570   2.3144E+02       0.18194795       0.09183814
      5.3620   2.3123E+02       0.18238204       0.10312136
      5.3670   2.3101E+02       0.18371900       0.11659532
      5.3720   2.3080E+02       0.18628526       0.13281578
      5.3770   2.3058E+02       0.19004299       0.15250459
      5.3820   2.3037E+02       0.19465306       0.17661573
      5.3870   2.3015E+02       0.19964062       0.20642060
      5.3920   2.2994E+02       0.20459050       0.24360917
      5.3970   2.2973E+02       0.20923021       0.29038819
      5.4020   2.2952E+02       0.21329780       0.34952495
      5.4070   2.2930E+02       0.21637546       0.42419599
      5.4120   2.2909E+02       0.21801200       0.51729401
      5.4170   2.2888E+02       0.21812455       0.62951131
      5.4220   2.2867E+02       0.21726183       0.75536518
      5.4270   2.2846E+02       0.21641347       0.87767811
      5.4320   2.2825E+02       0.21649676       0.96592381
      5.4370   2.2804E+02       0.21790308       0.98833923
      5.4420   2.2783E+02       0.22036534       0.93533298
      5.4470   2.2762E+02       0.22315077       0.82814854
      5.4520   2.2741E+02       0.22546914       0.70070152
      5.4570   2.2720E+02       0.22688125       0.57862976
      5.4620   2.2699E+02       0.22739025       0.47373114
      5.4670   2.2679E+02       0.22717917       0.38830720
      5.4720   2.2658E+02       0.22637803       0.32036612
      5.4770   2.2637E+02       0.22513204       0.26670779
      5.4820   2.2617E+02       0.22381769       0.22425198
      5.4870   2.2596E+02       0.22307543       0.19045167
      5.4920   2.2575E+02       0.22352839       0.16332762
      5.4970   2.2555E+02       0.22544860       0.14137793
      5.5020   2.2534E+02       0.22867662       0.12346847
      5.5070   2.2514E+02       0.23274117       0.10874065
      5.5120   2.2494E+02       0.23695971       0.09653766
      5.5170   2.2473E+02       0.24052088       0.08634534
      5.5220   2.2453E+02       0.24265947       0.07775215
      5.5270   2.2432E+02       0.24290378       0.07043032
      5.5320   2.2412E+02       0.24125691       0.06412953
      5.5370   2.2392E+02       0.23815056       0.05866288
      5.5420   2.2372E+02       0.23425573       0.05389037
      5.5470   2.2352E+02       0.23037348       0.04972576
      5.5520   2.2331E+02       0.22729068       0.04613837
      5.5570   2.2311E+02       0.22545736       0.04311131
      5.5620   2.2291E+02       0.22474848       0.04058574
      5.5670   2.2271E+02       0.22459931       0.03844583
      5.5720   2.2251E+02       0.22440694       0.03656712
      5.5770   2.2231E+02       0.22378458       0.03486984
      5.5820   2.2211E+02       0.22247968       0.03328788
      5.5870   2.2192E+02       0.22032151       0.03173143
      5.5920   2.2172E+02       0.21743026       0.03015968
      5.5970   2.2152E+02       0.21432878       0.02863941
      5.6020   2.2132E+02       0.21175371       0.02730231
      5.6070   2.2112E+02       0.21024749       0.02625623
      5.6120   2.2093E+02       0.20975938       0.02549450
      5.6170   2.2073E+02       0.20967880       0.02490077
      5.6220   2.2053E+02       0.20932294       0.02437020
      5.6270   2.2034E+02       0.20839154       0.02390755
      5.6320   2.2014E+02       0.20695615       0.02358601
      5.6370   2.1995E+02       0.20509741       0.02342768
      5.6420   2.1975E+02       0.20268423       0.02335255
      5.6470   2.1956E+02       0.19946338       0.02321943
      5.6520   2.1936E+02       0.19524741       0.02288716
      5.6570   2.1917E+02       0.19008315       0.02228819
      5.6620   2.1898E+02       0.18437978       0.02150923
      5.6670   2.1878E+02       0.17879307       0.02075168
      5.6720   2.1859E+02       0.17384537       0.02014874
      5.6770   2.1840E+02       0.16970000       0.01966674
      5.6820   2.1821E+02       0.16628299       0.01922269
      5.6870   2.1801E+02       0.16343081       0.01882267
      5.6920   2.1782E+02       0.16083030       0.01851475
      5.6970   2.1763E+02       0.15801723       0.01828927
      5.7020   2.1744E+02       0.15461367       0.01808844
      5.7070   2.1725E+02       0.15058170       0.01788164
      5.7120   2.1706E+02       0.14624779       0.01770492
      5.7170   2.1687E+02       0.14208148       0.01762537
      5.7220   2.1668E+02       0.13837749       0.01766491
      5.7270   2.1649E+02       0.13501317       0.01772059
      5.7320   2.1630E+02       0.13151219       0.01760636
      5.7370   2.1611E+02       0.12741882       0.01723061
      5.7420   2.1593E+02       0.12256231       0.01665354
      5.7470   2.1574E+02       0.11698640       0.01594762
      5.7520   2.1555E+02       0.11082781       0.01511009
      5.7570   2.1536E+02       0.10432498       0.01414103
      5.7620   2.1518E+02       0.09779756       0.01311626
      5.7670   2.1499E+02       0.09151956       0.01214122
      5.7720   2.1480E+02       0.08562884       0.01126528
      5.7770   2.1462E+02       0.08020284       0.01048621
      5.7820   2.1443E+02       0.07540016       0.00983109
      5.7870   2.1425E+02       0.07147259       0.00939372
      5.7920   2.1406E+02       0.06863616       0.00928218
      5.7970   2.1388E+02       0.06695861       0.00954299
      5.8020   2.1369E+02       0.06633145       0.01011623
      5.8070   2.1351E+02       0.06648285       0.01082392
      5.8120   2.1332E+02       0.06705318       0.01142688
      5.8170   2.1314E+02       0.06778189       0.01178555
      5.8220   2.1296E+02       0.06865355       0.01198829
      5.8270   2.1278E+02       0.06978538       0.01224722
      5.8320   2.1259E+02       0.07121263       0.01269591
      5.8370   2.1241E+02       0.07281836       0.01333952
      5.8420   2.1223E+02       0.07430629       0.01408301
      5.8470   2.1205E+02       0.07517235       0.01473869
      5.8520   2.1187E+02       0.07490186       0.01511184
      5.8570   2.1169E+02       0.07330256       0.01511708
      5.8620   2.1150E+02       0.07052096       0.01475039
      5.8670   2.1132E+02       0.06679514       0.01402749
      5.8720   2.1114E+02       0.06236144       0.01301849
      5.8770   2.1097E+02       0.05751188       0.01183981
      5.8820   2.1079E+02       0.05261971       0.01062066
      5.8870   2.1061E+02       0.04806033       0.00951026
      5.8920   2.1043E+02       0.04405970       0.00863108
      5.8970   2.1025E+02       0.04063704       0.00801352
      5.9020   2.1007E+02       0.03770742       0.00763070
      5.9070   2.0989E+02       0.03521280       0.00748608
      5.9120   2.0972E+02       0.03314954       0.00762331
      5.9170   2.0954E+02       0.03148402       0.00802938
      5.9220   2.0936E+02       0.03005060       0.00852861
      5.9270   2.0919E+02       0.02855927       0.00880777
      5.9320   2.0901E+02       0.02676512       0.00860596
      5.9370   2.0883E+02       0.02465617       0.00790993
      5.9420   2.0866E+02       0.02243261       0.00693179
      5.9470   2.0848E+02       0.02032114       0.00591746
      5.9520   2.0831E+02       0.01845178       0.00501764
      5.9570   2.0813E+02       0.01685678       0.00428330
      5.9620   2.0796E+02       0.01551488       0.00370877
      5.9670   2.0778E+02       0.01438663       0.00326726
      5.9720   2.0761E+02       0.01343197       0.00292902
      5.9770   2.0744E+02       0.01261648       0.00266829
      5.9820   2.0726E+02       0.01191254       0.00246485
      5.9870   2.0709E+02       0.01129852       0.00230353
      5.9920   2.0692E+02       0.01075767       0.00217328
      5.9970   2.0674E+02       0.01027698       0.00206609
      6.0020   2.0657E+02       0.00984629       0.00197618
      6.0070   2.0640E+02       0.00945758       0.00189937
      6.0120   2.0623E+02       0.00910448       0.00183264
      6.0170   2.0606E+02       0.00878184       0.00177377
      6.0220   2.0589E+02       0.00848551       0.00172109
      6.0270   2.0571E+02       0.00821206       0.00167340
      6.0320   2.0554E+02       0.00795867       0.00162976
      6.0370   2.0537E+02       0.00772296       0.00158945
      6.0420   2.0520E+02       0.00750295       0.00155195
      6.0470   2.0503E+02       0.00729695       0.00151681
      6.0520   2.0486E+02       0.00710351       0.00148370
      6.0570   2.0470E+02       0.00692139       0.00145234
      6.0620   2.0453E+02       0.00674952       0.00142254
      6.0670   2.0436E+02       0.00658697       0.00139409
      6.0720   2.0419E+02       0.00643290       0.00136687
      6.0770   2.0402E+02       0.00628661       0.00134075
