      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      3.1570   3.9273E+02       2.59526369       0.28281201
      3.1620   3.9211E+02       2.60579296       0.28243073
      3.1670   3.9149E+02       2.59817314       0.28024180
      3.1720   3.9087E+02       2.57439289       0.27622873
      3.1770   3.9026E+02       2.53781353       0.27031950
      3.1820   3.8964E+02       2.49453733       0.26306774
      3.1870   3.8903E+02       2.45317827       0.25623491
      3.1920   3.8842E+02       2.42031740       0.25157155
      3.1970   3.8781E+02       2.39601317       0.24886741
      3.2020   3.8721E+02       2.37594638       0.24621097
      3.2070   3.8660E+02       2.35894561       0.24261187
      3.2120   3.8600E+02       2.35090878       0.23960377
      3.2170   3.8540E+02       2.36015352       0.23988341
      3.2220   3.8481E+02       2.38901241       0.24456479
      3.2270   3.8421E+02       2.42925069       0.25155736
      3.2320   3.8361E+02       2.46630513       0.25696430
      3.2370   3.8302E+02       2.49006740       0.25837581
      3.2420   3.8243E+02       2.50187592       0.25652009
      3.2470   3.8184E+02       2.51144401       0.25401666
      3.2520   3.8126E+02       2.52908383       0.25324204
      3.2570   3.8067E+02       2.56072626       0.25530632
      3.2620   3.8009E+02       2.60696850       0.26024713
      3.2670   3.7950E+02       2.66314889       0.26718233
      3.2720   3.7892E+02       2.71971068       0.27414547
      3.2770   3.7835E+02       2.76540582       0.27859533
      3.2820   3.7777E+02       2.79431613       0.27912472
      3.2870   3.7720E+02       2.81139140       0.27703673
      3.2920   3.7662E+02       2.82894589       0.27549877
      3.2970   3.7605E+02       2.85654501       0.27679802
      3.3020   3.7548E+02       2.89452260       0.28082850
      3.3070   3.7491E+02       2.93500489       0.28574205
      3.3120   3.7435E+02       2.96744495       0.28949951
      3.3170   3.7378E+02       2.98422696       0.29106955
      3.3220   3.7322E+02       2.98237833       0.29022284
      3.3270   3.7266E+02       2.96312186       0.28695452
      3.3320   3.7210E+02       2.93267416       0.28208283
      3.3370   3.7154E+02       2.90082032       0.27743995
      3.3420   3.7099E+02       2.87573823       0.27467106
      3.3470   3.7043E+02       2.86010108       0.27428914
      3.3520   3.6988E+02       2.85060410       0.27553548
      3.3570   3.6933E+02       2.83981690       0.27671794
      3.3620   3.6878E+02       2.81999973       0.27608735
      3.3670   3.6823E+02       2.78772140       0.27280898
      3.3720   3.6769E+02       2.74676579       0.26754555
      3.3770   3.6714E+02       2.70693582       0.26237376
      3.3820   3.6660E+02       2.67853147       0.25968399
      3.3870   3.6606E+02       2.66603815       0.26054294
      3.3920   3.6552E+02       2.66577901       0.26407934
      3.3970   3.6498E+02       2.66822202       0.26817907
      3.4020   3.6444E+02       2.66284982       0.27073551
      3.4070   3.6391E+02       2.64281810       0.27076778
      3.4120   3.6338E+02       2.60584420       0.26819984
      3.4170   3.6285E+02       2.55298372       0.26318938
      3.4220   3.6231E+02       2.48859818       0.25631907
      3.4270   3.6179E+02       2.41993928       0.24885582
      3.4320   3.6126E+02       2.35443543       0.24222959
      3.4370   3.6073E+02       2.29646173       0.23723731
      3.4420   3.6021E+02       2.24619409       0.23382310
      3.4470   3.5969E+02       2.20050382       0.23121691
      3.4520   3.5917E+02       2.15536992       0.22835681
      3.4570   3.5865E+02       2.10913893       0.22488115
      3.4620   3.5813E+02       2.06335231       0.22144283
      3.4670   3.5761E+02       2.02042847       0.21883542
      3.4720   3.5710E+02       1.98203200       0.21767241
      3.4770   3.5658E+02       1.94791990       0.21840634
      3.4820   3.5607E+02       1.91286522       0.22009562
      3.4870   3.5556E+02       1.86628868       0.21992303
      3.4920   3.5505E+02       1.79862855       0.21506659
      3.4970   3.5454E+02       1.70923700       0.20486544
      3.5020   3.5404E+02       1.60803362       0.19134412
      3.5070   3.5353E+02       1.50967916       0.17813809
      3.5120   3.5303E+02       1.42530875       0.16837145
      3.5170   3.5253E+02       1.35786824       0.16262717
      3.5220   3.5203E+02       1.30373407       0.15901601
      3.5270   3.5153E+02       1.25846775       0.15562614
      3.5320   3.5103E+02       1.22111723       0.15257436
      3.5370   3.5053E+02       1.19311804       0.15117937
      3.5420   3.5004E+02       1.17474825       0.15189664
      3.5470   3.4955E+02       1.16390630       0.15395426
      3.5520   3.4905E+02       1.15710690       0.15630027
      3.5570   3.4856E+02       1.15050514       0.15808808
      3.5620   3.4807E+02       1.14066090       0.15867365
      3.5670   3.4759E+02       1.12568371       0.15785299
      3.5720   3.4710E+02       1.10599860       0.15611890
      3.5770   3.4662E+02       1.08328478       0.15417019
      3.5820   3.4613E+02       1.05839005       0.15176664
      3.5870   3.4565E+02       1.03175638       0.14805451
